city,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,windspeed_10m_max,shortwave_radiation_sum,latitude,longitude,climate_zone
Athurugiriya,26.537550854353135,29.578234336859236,24.169589096826687,6.821155410903174,6.821155410903174,14.215846216436129,17.88611472742067,6.9000015,79.899994,0
Badulla,23.658706265256306,27.821236777868187,20.21647681041497,5.090947925142392,5.090947925142392,10.987693246541903,18.92518917819365,7.0999985,81.100006,-1
Bentota,26.484418226200162,28.919853539462977,24.469772172497965,7.1849674532139955,7.1849674532139955,14.319650122050446,17.812540683482506,6.5,80.0,0
Colombo,26.715744507729863,29.711228641171683,24.430634662327094,7.1849674532139955,7.1849674532139955,14.319650122050446,17.812540683482506,7.0,79.899994,0
Galle,27.115622457282342,29.79599267697315,25.04379576891782,5.711187957689178,5.711187957689178,17.598413344182262,19.905105777054516,6.0999985,80.20001,1
Gampaha,26.60406834825061,29.90270545158666,24.140215622457283,6.821155410903174,6.821155410903174,14.215846216436129,17.88611472742067,7.0999985,80.0,0
Hambantota,27.285435313262816,30.53205858421481,24.87721724979658,2.9270951993490644,2.9270951993490644,19.753885272579335,19.750174938974776,6.2000046,81.20001,-1
Hatton,20.37127746135069,23.720179007323026,18.01665988608625,7.145382424735557,7.145382424735557,10.127074857607811,18.434235150528885,6.9000015,80.600006,-1
Jaffna,27.780777054515863,29.465744507729863,26.35673311635476,3.359845402766477,3.359845402766477,26.509336859235148,19.833921887713586,9.700005,80.0,-1
Kalmunai,27.733096013018713,30.43787632221318,25.399104963384865,4.192880390561432,4.192880390561432,15.898209926769733,19.422249796582587,7.4000015,81.80002,-1
Kalutara,26.52192839707079,29.114747762408463,24.41653783563873,7.1849674532139955,7.1849674532139955,14.319650122050446,17.812540683482506,6.5999985,80.0,0
Kandy,23.504739625711963,27.127807160292917,20.628519121236778,6.313120423108218,6.313120423108218,11.7836655817738,18.11013832384052,7.300003,80.600006,-1
Kesbewa,26.600244100895036,29.368083807973964,24.410862489829128,7.1849674532139955,7.1849674532139955,14.319650122050446,17.812540683482506,6.800003,79.899994,0
Kolonnawa,26.6373474369406,29.678234336859237,24.26958909682669,6.821155410903174,6.821155410903174,14.215846216436129,17.88611472742067,6.9000015,79.899994,0
Kurunegala,25.77040276647681,29.668958502847843,22.946440195280715,5.351545972335232,5.351545972335232,14.846053702196908,18.154485353946296,7.5,80.399994,2
Mabole,26.715744507729863,29.711228641171683,24.430634662327094,6.821155410903174,6.821155410903174,14.215846216436129,17.88611472742067,7.0,79.899994,0
Maharagama,26.54926769731489,29.318104149715214,24.360191212367777,7.1849674532139955,7.1849674532139955,14.319650122050446,17.812540683482506,6.800003,79.899994,0
Mannar,27.462713588283158,29.786777868185514,25.652827502034175,3.05286818551668,3.05286818551668,24.30520748576078,19.308409275834013,8.900002,80.0,-1
Matale,25.03458096013019,28.922253864930834,22.175956061838892,5.315154597233523,5.315154597233523,14.691497152156224,18.326527664768104,7.5999985,80.600006,2
Matara,26.49593165174939,28.856672091131,24.646501220504476,5.711187957689178,5.711187957689178,17.598413344182262,19.905105777054516,6.0,80.399994,1
Moratuwa,26.648759153783566,29.418104149715216,24.46019121236778,7.1849674532139955,7.1849674532139955,14.319650122050446,17.812540683482506,6.800003,79.899994,0
Mount Lavinia,26.688730675345806,29.728519121236776,24.319080553295365,7.1849674532139955,7.1849674532139955,14.319650122050446,17.812540683482506,6.9000015,79.899994,0
Negombo,26.841842961757525,29.779536208299433,24.65447518307567,6.821155410903174,6.821155410903174,14.215846216436129,17.88611472742067,7.0999985,79.899994,0
Oruwala,26.384031733116352,29.689422294548415,23.84886086248983,6.821155410903174,6.821155410903174,14.215846216436129,17.88611472742067,6.9000015,80.0,0
Pothuhera,25.509275834011394,29.418572009764038,22.719039869812857,5.351545972335232,5.351545972335232,14.846053702196908,18.154485353946296,7.4000015,80.30002,2
Puttalam,27.0680227827502,29.757770545158667,25.058502847843776,4.367860048820179,4.367860048820179,16.868978844589094,18.708533360455654,8.0,79.80002,-1
Ratnapura,25.148433685923514,28.655634662327095,22.362611879576892,7.777339300244101,7.777339300244101,12.18100081366965,17.915496338486573,6.800003,80.30002,0
Sri Jayewardenepura Kotte,26.688730675345806,29.728519121236776,24.319080553295365,6.821155410903174,6.821155410903174,14.215846216436129,17.88611472742067,6.9000015,79.899994,0
Trincomalee,27.663201790073227,30.750183075671277,25.49967453213995,3.847111472742067,3.847111472742067,21.49625711960944,19.855646867371846,8.599998,81.20001,-1
Weligama,26.54707078925956,28.906773799837268,24.69759967453214,5.711187957689178,5.711187957689178,17.598413344182262,19.905105777054516,6.0,80.399994,1
